,sentence,category
7230,"Но не сказать, что бы мне все понравилось сразу... коллектив компетентный, но уж слишком много вопросов задают, не только по документам, но и как бы ведут психологический анализ моего состояния, что очень удивило меня.",Communication
7232,"ни извинений, ни сожалений... ппц!",Communication
7234,"Персональный менеджер Светлана и руководитель отделения София действительно всегда отзываются по любой проблеме, решают их на должном уровне, всегда вежливы и внимательны к своим клиентам.",Communication
7236,"Вежливость, отзывчивость и компетентность сотрудников этого отделения приятно порадовала меня.",Communication
7238,"я очень рада, что мне попались очень хорошие сотрудники и в Москве, и в Пятигорске)) в общем все уладили без моих перемещений)  два дня со мной на связи были и сотрудники из Москвы, и сотрудники из Пятигорска)) и вуаля) любимый Банк переехал со мной))  Спасибо всем большое!",Quality
7239,"я очень рада, что мне попались очень хорошие сотрудники и в Москве, и в Пятигорске)) в общем все уладили без моих перемещений)  два дня со мной на связи были и сотрудники из Москвы, и сотрудники из Пятигорска)) и вуаля) любимый Банк переехал со мной))  Спасибо всем большое!",Communication
7240,"Единственно, что с информированием клиентов очень все плохо - сам не позвонишь, никто и не сообщит.",Communication
7242,"на каком основании по ее долгам звонят мне лично и тем более на мою работу, тем самым пороча мою репутацию!!!!!",Communication
7244,"Оформила на сайтекарту Тинькофф Блэк,представитель привёз домой уже на следующий день.",Quality
7246,Старшая менеджер отказывается называть свое имя и запретила младшим менеджерам даже подходить ко мне и обслуживать меня.,Communication
7247,Старшая менеджер отказывается называть свое имя и запретила младшим менеджерам даже подходить ко мне и обслуживать меня.,Quality
7248,"Банкомат пытались вскрыть, Карл, и поэтому он уже более года не принимает средства!",Quality
7250,Мобильное приложение развивается и все важные функции работают стабильно8.,Quality
7252,Приложение очень удобное и лёгкое в использовании.,Quality
7254,Обман это злоупотребление доверием с целью получение денежных средств.,Communication
7256,"Но в банке только ""кормят обещаниями"" рассмотрении моего заявления, обещали рассмотреть его в течение 30 дней, а прошло уже 4 месяца (сейчас октябрь 2016), и моя кредитная история по-прежнему испорчена, и средства, которые банк повторно удержал с моей карты, мне так и не вернули.",Quality
7258,Ну просто добрейшей души сотрудник.,Communication
7260,"Сотрудники в дополнительных офисах приветливые, коммуникабельные.",Communication
7262,"Я снова написала в поддержку, высказав свои претензии и указав, что я совершенно не удовлетворена ничего не объясняющей отпиской в одну строчку.",Communication
7264,Всегда грамотное и вежливое обслуживание в офисе!,Quality
7265,Всегда грамотное и вежливое обслуживание в офисе!,Communication
7266,"Это еще помимо возможности делать выписки, оплачивать различные услуги, это замечательная возможность для людей, лишенных в силу определенных обстоятельств, посещать отделения банка.",Quality
7268,"Для этого необходимо было подъехать в отделение и заказать данную справку.28 апреля я подъехала в отделение ""Черемушки"" к 9:30 утра как раз к началу работы кредитного специалиста.",Communication
7270,"Одобряю (а как айтишник понимаю, что что-то где-то не подтянулось - ничего, у всех бывает  Сразу же подключили бухгалтерию, проверили контракт, поставили в ЦБ на учет - все очень быстро и четко, молодцы.",Quality
7272,"Им плевать, что у меня нет денег на жизнь!",Communication
7274,"Я обратилась в Рос банк и хочу сказать спасибо за то, как профессионально и качественно работает с клиентами Ксения Г-кая , такое редко встречается- вежливость и чувство такта, грамотность , разъяснения нюансов.",Communication
7276,"Менеджер в полнейшем непонимании, говорит, что такого платежа нигде не видит, что все документы у нее в ПО отображены и не понимает, в чем дело.",Quality
7278,Хочу поблагодарить Лапшину Татьяну за данные разъяснения.,Communication
7280,"!22.02.2020 заблокировали счет якобы из-за просроченой задолжености по кредиту,сразу позвонил в банк,сотрудники футболят друг на друга и никто не говорит в чем дело и постоянно переносят время рассмотрения.",Communication
7282,Никогда не порекомендую никому к Вам обращаться.,Communication
7284,"Елена очень профессиональный специалист, всегда очень понятно и доходчиво объясняет, если требуется помощь то обращаюсь к ней без всяких проблем, всегда готова решить любые проблемы.",Quality
7286,"На вопрос кто же виноват в сложившейся ситуации и что делать девушка, не разобравшись в проблеме, начала строить предположения, обвинять плохое программное обеспечение, но конкретного ответа так и не дала.",Quality
7288,"Мне никто не позвонил, смс не отправил.",Communication
7290,"Работу этих специалистов  можно сравнить, с полетом на высоте.",Communication
7292,"Мне впарили ""совкомline"" без моего согласия, кучу карточек, которые мне вообще не нужны!",Communication
7294,"В целом и в общем, очень приятная контора.",Quality
7295,"В целом и в общем, очень приятная контора.",Communication
7296,"Очень приятно, что в ""Росбанке"" работают высококвалифицированные специалисты!",Communication
7298,"…Вы своих клиентов совсем не уважаете, считая их идиотами и делая такие предложения о рефинансировании?",Quality
7300,"Первые два раза меня просто проигнорировали, на третий раз в грубой форме сказали, что мол, у нас одна очередь на все виды обслуживания, хотя в других окнах терминала не было, а в окне №4, к которому я подошел, стоял терминал и было написано ""касса"", а также наклеены логотипы сберкарт и международных карт.",Quality
7301,"Первые два раза меня просто проигнорировали, на третий раз в грубой форме сказали, что мол, у нас одна очередь на все виды обслуживания, хотя в других окнах терминала не было, а в окне №4, к которому я подошел, стоял терминал и было написано ""касса"", а также наклеены логотипы сберкарт и международных карт.",Communication
7302,Я столько неприличных слов просто не знаю.,Communication
7304,"Приняла девушка (имя не запомнил), сказала, что в данном отделении отсутствует кассовый терминал, принять заявление на досрочное погашения не может, сумму для досрочного погашения не может предоставить.",Quality
7306,Ставки по вкладам вполне на уровне.,Price
7308,"Выдавали карты дебетовые, но, оказалось при выдаче на работе при получении обязательно требуется получать и кредитную карту, которую банк уже одобрил (сд-но, залез в бки без моего согласия).",Communication
7310,В общем все заявления и звонки уходят в никуда.,Communication
7312,Что меня первое удивило при входе так это улыбчивость и доброжелательность сотрудников!,Communication
7314,"Требование вернуть деньги за оплату долга, раз не могут вывести карту, игнорируют, снова пишут типовую отписку, что карта выведена и не выводят ее, похоже на какое то издевательство, больше уже не знаю куда писать....",Quality
7315,"Требование вернуть деньги за оплату долга, раз не могут вывести карту, игнорируют, снова пишут типовую отписку, что карта выведена и не выводят ее, похоже на какое то издевательство, больше уже не знаю куда писать....",Communication
7316,Ставки по вкладам вполне на уровне.,Price
7318,"Ошибаетесь вы, а тратить свое рабочее время на посещение ваших отделений должен я. Почему нельзя решить эту проблему по телефону?",Quality
7320,"В действиях менеджера кроется явное правонарушение, позорящее марку и бренд «Русский стандарт»!",Communication
7322,Даже директор там очень заботливая.,Communication
7324,"Из-за их отвратительного сервиса образовалась задолженность за 4 дня (сегодня 24.02.2021), их хамовитые сотрудники начинают названивать и требовать средства, которые повисли где-то в воздухе и так и не поступили на мой счёт.",Communication
7326,"Мое мнение, не профессионализм сотрудников... ПОЗОР!",Quality
7328,"Но вот уже предполагаемая дата заезда, а границы закрыты... Снова письмо... И неутешительный ответ, компания больше не существует, деньги вам не вернут.",Quality
7330,"А так лучший банк с точки зрения удобства, сервиса, выгодных тарифов и понимания для клиентов.",Quality
7331,"А так лучший банк с точки зрения удобства, сервиса, выгодных тарифов и понимания для клиентов.",Price
7332,"На самом деле еще много плюсов в работе с банком встретил, включая оплату различных платежей (в т.ч. ЖКХ) без комиссий, все конечно не распишешь.",Price
7334,"Во-первых, очень грамотные, воспитанные, очень симпатичные сотрудницы  , очень быстрый ответ по заявке на кредит, брал сумму в районе 327 тыс.р.",Communication
7335,"Во-первых, очень грамотные, воспитанные, очень симпатичные сотрудницы  , очень быстрый ответ по заявке на кредит, брал сумму в районе 327 тыс.р.",Quality
7336,"Я тоже недовольна навязанной услугой ""Кредитный помощник"".",Quality
7338,"- «Это страховка - по-русски»Я  - «Вы меня обманули и ввели в заблуждение тем, что утверждаете, что это страхование, по сути это непонятные услуги сторонних организаций, на которые я не соглашалась»Н.",Communication
7340,Полный треш... за одну операцию по Money Send ru списание 3 раза!,Quality
7342,"В этот банк еще довольно сложно дозвониться и связаться с нужным сотрудником, они или по полдня не берут трубку, или придумывают какие-то отговорки, чтобы не отвечать на звонок, или сообщают ложную информацию, один сотрудник говорит одно, а другой - другое.",Communication
7344,Нам не понятна формулировка службы безопасности: «Отсутствует по месту нахождения»!,Communication
7346,"Страховку отключить не удалось, сотрудник банка меня обманул наглым образом.",Communication
7348,"За мной уже образовалась очередь и даже сторонние люди, которые были за мной обращались к ней, чтобы она всё таки мне помогла.",Quality
7350,"Вы работаете с ними плохо, проведите обучение, сделайте рассылку по банку, проговорите на собрании утром/вечером, когда вы там.",Quality
7352,"Итогом моего обращения в Сбербанк: является потраченное время и нервы, по кредитам сторонних банков, поданных мной на рефинансирование, продолжают идти проценты, ужасное обслуживание и очень неприятный осадок.",Quality
7354,Обслуживание Ваших подразделений в г. Барнаул неудовлетворительное!,Quality
7356,"С первой девушкой говорил 5 минут(ожидание звонка 6 минут) она переключила на другую девушку сказала что передаст мой вопрос ей, но 2я девушка была не информирована об проблеме(ее я ждал тоже минуты 3) потом она после всего сказала что меня переключит на специалиста по притензиям, и сказала что это переключение будет сразу я переспросил точно сразу, на что она мне сказала что уже соединяет и отключилась (ожидание следующего специалиста было 9 минут) тут я стал еще злее, что мне очень не понравилось.",Communication
7358,"Впервые сталкиваюсь с таким отношением, похоже, банку абсолютно плевать на клиентов.",Quality
7360,"Загоревшись идеей это попробовать я оформил карту, привезли шикарную металлическу (никогда таких не видел раньше, она действительно ТОП) очень солидно.",Quality
7362,Добиться внятного ответа и контактных телефонов для связи с руководством НЕ СМОГ - их не дают!..,Communication
7364,"Получается, в контактном центре меня обманули и никак эти затраты не вернуть?",Communication
7366,Очень жаль что такой крупный банк позволяет себе такое хамское отношение к клиентам.,Communication
7368,Что за не уважение к своему клиенту который является их клиентом столько лет.,Communication
7370,"Почему я, должна за место ваших некомпетентных сотрудников, бегать по городу???",Quality
7372,"Благодаря таким сотрудникам, как Илья Саломатин, работа банка заслуживает положительной оценки.",Communication
7374,Огромное удовольствие от обслуживания и общения!,Communication
7375,Огромное удовольствие от обслуживания и общения!,Quality
7376,"И самое главное - это спокойствие при выполнении операций, т.е. не надо переживать, дойдет, не дойдет и когда... все прогнозируемо с точностью до нескольких часов!",Quality
7378,"Резюме: не ходите в Росбанк, он очень непорядочный и повернут не тем местом к клиенту.",Communication
7380,"Думал, закончилось все в 90-х. Открыли учредителю компании дебетовую карту, сотрудник банка дал реквизиты, перечислили туда 80 т. руб. Деньги не пришли, оказалось, что сотрудники банка дали реквизиты совершенно другой карты, своей наверное.",Quality
7382,"Дополнение от 13.03.2019 12:55 Отзыв с оценкой ""5""Хотелось бы выразить слова благодарности Юлии Б-вой и сайту Банки.ру за оперативность в работе.",Quality
7384,"До подписания документов менеджер, ещё раз, проговорил о главных моментах в договоре, хорошем проценте по эквайрингу, бесплатному предоставлению терминала, обучению персонала и круглосуточной поддержке.",Communication
7386,"Несмотря на это, банк работает в нормальном режиме, электронная очередь работает как швейцарские часы, а работники отделения вежливы с каждым клиентом.",Quality
7387,"Несмотря на это, банк работает в нормальном режиме, электронная очередь работает как швейцарские часы, а работники отделения вежливы с каждым клиентом.",Communication
7388,"Обман с кучей подписей документов с ограничением по времени, естественно уникальная страховка от которой нельзя отказаться.",Communication
7390,"Я и раньше получал переводы, но у банков это постоянно вызывает какую-то трудность: то денег в кассе нет, то программа не работает, то еще какие-то проблемы.",Quality
7392,Ужасный банк обманывающий своих клиентов и отнимающий у них время.,Quality
7394,"Благодарю специалистов Совкомбанка за лояльное отношение к своим клиентам, доволен обслуживанием и предлагаемыми продуктами банка.",Communication
7395,"Благодарю специалистов Совкомбанка за лояльное отношение к своим клиентам, доволен обслуживанием и предлагаемыми продуктами банка.",Quality
7396,"!, на что сотрудник банка ответила мне что данную отметку мне ставить почему-то нельзя.",Communication
7398,"Руководитель отделения Г-ова Елена Леонидовна напрочь отказывается общаться с клиентом, то есть со мной «у неё совещания» отмазка всех сотрудников , выполняемых некачественно свои должностные обязанности!!!",Communication
7400,"!вечные очереди в офис,по телефону не дозвониться.",Quality
7401,"!вечные очереди в офис,по телефону не дозвониться.",Communication
7402,"Большую часть операций осуществлял через ДО в Долгопрудном, понравилась работа операционисток: все быстро и профессионально.",Quality
7404,"Он всегда был на связи, отвечал на абсолютно все вопросы, до сделки и на сделке.",Communication
7406,"Мы с ней договорились на конкретное время, что очень удобно, чтобы не ожидать в очереди.",Quality
7408,"Самый огромный плюс... после неоплаты штрафа все карты оказались заблокированны, кроме одной.",Quality
7410,"Второй оператор сказал, что эта акция ТОЛЬКО для ПРЕДОДОБРЕННЫХ ранее заявок (хотя такого ограничения в правилах акции нет, есть срок акции с 02.08.2019 по 31.10.2019) и я в неё не попадаю, и, БАРАБАННАЯ ДРОБЬ, НИКАКИХ ЗАЯВОК НА ИЗГОТОВЛЕНИЕ ДЛЯ МЕНЯ ИМЕННОЙ КРЕДИТНОЙ КАРТЫ НЕТ!!!",Communication
7412,Я восхищен и приятно удивлен ее неравнодушием и искренним желанием помочь клиенту!,Quality
7414,Спасибо ей большое за оказание квалифицированных услуг,Quality
7416,Разработчикам большое уважение!,Quality
7418,"Друг написал в поддержку, ему подарили повышенный кэшбэк вчерашним числом, а это 10 000 рублей посиделки оказалась приличная сумма.",Quality
7419,"Друг написал в поддержку, ему подарили повышенный кэшбэк вчерашним числом, а это 10 000 рублей посиделки оказалась приличная сумма.",Price
7420,Ещё бы в аэропорт куда-нибудь отправили... Считаю это вообще насмешкой.,Communication
7422,"Сейчас сроки не предоставляют вообще, просто отмораживаются и ничего толком сказать не могут.",Communication
7424,"Кстати очень даже прикольная карта, если приглядеться.",Quality
7426,"При этом после того как я сказал что обеденный перерыв, во время которого я могу забрать паспорт с 12:00 до 13:00, а встреча назначена с 13:00 до 15:00, Александр сказал что это не проблема и к 12:00 уже ждал меня возле работы.",Communication
7428,"Мало того, что оплата без комиссий принималась только в одном месте города Ижевска, где всегда стояла очередь, как будто там водку бесплатно раздавали, дак оказалось, что Русфинанс банк в паре с СКТ пошли на хорошую уловку.",Quality
7430,Также отдельно хочу поблагодарить сотрудников банка за ОЧЕНЬ оперативное принятие решений по временному изменению лимита по сумме совершаемых операций через интернет.,Quality
7432,"Из всех банков, с которыми мне доводилось иметь дело, Тинькофф Банк (или ТКС) безусловно лучший.",Quality
7434,"монолог  о недопустимости просрочек (мои оправдания о том мол форс-мажор, так получалось и где я в тайге найду терминал оплаты игнорились в корень) и какую-то чушь о том как меня еще земля носит и много вас таких негодяев из-за которых команда высококвалифицированных специалистов банка Траст имеет головную боль.",Communication
7436,"Благодаря ее работе все мои коллеги рады, когда их клиенты получают одобрение Банка ВТБ, тк они знают что все дальнейшие действия будут осуществлены профессионально и мы в надежных руках!!!",Quality
7438,Что за жалкая манипуляция через давление на чувство страха?,Communication
7440,"На следующий день, как и обещал сотрудник все данные стали верными, как я и хотел.",Quality
7442,Я очень благодарна сотруднику за его усердие в помощи мне.,Quality
7444,"В итоге оказалось, что по техническим причинам (сбое в системе) карту не выпустили!!!",Quality
7446,"Есть инновационная услуга ""Белый бизнес"", который отображает в режиме реального времени рейтинг надежности, удобная и нужная вещь.",Quality
7448,"Был приятно удивлен, когда на возникшие у меня вопросы в воскресенье Елена нашла время и проконсультировала меня, а так же помогла урегулировать неточности, допущенные мной, сэкономив мое время.",Quality
7450,И там и там светло и сухо и проценты и обслуживание вежливое и недалеко от дома и график работы удобный и рейтинги у обоих банков достаточно высокие.,Quality
7452,У меня абсолютно потеряно доверие к этому банку.,Quality
7454,"Снова звоню в КЦ, выслушиваю новое вранье о рассмотрении в течение 3-х рабочих дней, спустя 1.5 недели мне перезванивают и снова говорят, что все ок, не беспокойтесь - как снимем, сразу с вами свяжемся.",Quality
7456,"В-пятых, такое мелкое жульничество!",Safety
7458,"Так что бы вы думали, через 3 недели оно уже тут и его доставили прямо на дом (да, это тоже чудо!).",Quality
7460,"Отвратительное качество обслуживания и информирования, а неуместные извинения с их стороны воспринимаю отрицательно.",Communication
7462,"В частности, купюры могут быть изношенными, грязными, с масляными пятнами, штампами, надписями, дырками, склеенными, залитыми краской, оборванными и бракованными.",Quality
7464,"Уже давно являюсь клиентом данного банка, пользуюсь практически всеми услугами, которые есть, и каждый раз уровень обслуживания, который они предоставляют, заставляет меня восхищаться.",Quality
7466,"С учетом того, что средств на счете осталось значительно более минимальной суммы вклада (как понимаете, мин.сумма тут явно не при чем), ВЫЗЫВАЕТ искреннее удивление такой выверт банка!",Quality
7468,"Оплатил покупку еще раз через другой терминал в этот раз успешно, но уже только рублями, потому что бонусы уже были списаны.",Quality
7470,"Долго смотрят, говорят - указывайте ваш адрес регистрации в паспорте (я в ужасе, люди первый раз в жизни узнали, что у ИП нет юр лица, как банк вообще деятельность проводит?).",Communication
7472,"Сидит за столом информации ужасная хамка, с ярко оранжевыми ногтями и ужасно ярким макияжем и вид ее какой-то подходить даже страшно.",Communication
7474,"На третий раз нам не только прислали сообщение, но даже и позвонили из ДомКлика, чтобы сказать, что теперь все точно готово.",Communication
7476,Отдельное спасибо сотруднице претензионного отдела в Поволжском банке Сбербанка России по имени Ирина.,Communication
7478,Консультанты вообще абсолютно некомпетентные люди!,Communication
7480,Выражаю благодарность за обслуживание  и оперативное решение текущих рабочих вопросов всему коллективу офиса «Кирово-Чепецкий» в г. Кирово-Чепецке Филиала № 6318 БанкаВТБ (ПАО).,Communication
7481,Выражаю благодарность за обслуживание  и оперативное решение текущих рабочих вопросов всему коллективу офиса «Кирово-Чепецкий» в г. Кирово-Чепецке Филиала № 6318 БанкаВТБ (ПАО).,Quality
7482,"Прекрасная акция ""Любимая покупка"" 6 месяцев тратишь по 10 т.р. у партнеров и вот он долгожданный промокод и кэшбэк 35% с одной из покупок (но не более 5 т.р.).",Price
7484,Вот уже 4 месяца невозможно распечатать квитанцию об оплате счетов МГТС.,Quality
7486,"В моем понимании должен был получить более 2000 рублей (Альфа-баллов) кэшбэка, а в итоге получил 1052 рубля (Альфа-балла).",Quality
7488,Очень разочаровалась в банке Совкомбанк.,Quality
7490,"Обращаюсь повторно и прошу провести проверку в отношении сотрудника СберБанк России в г. Черкесске по имени ""Мурат"", который в ходе разговора угрожал мне физической расправой оскорблял и т.д., 28.08.2015 года мне начали поступать звонки с телефона № 88782237978 и 88782237887, мне сообщили, что у меня не доплачена сумма 1200 рублей по кредиту, который я плачу уже 4 года, я сообщил сотруднику, что выехал за пределы СКФО и по приезде 31.08 внесу 1500 тысячи, после чего Мурат стал мне предлагать, чтобы я попросил родителей или сестру внести данную сумму, обозвал меня нищим, и положил трубку, после чего начал названивать моим родственникам и разглашать банковскую тайну (я являюсь не только заемщиком но и клиентом банка, у меня имеется дебетовая карта, на которую ежемесячно поступают от 100 000 до 500 000 рублей), так же данным сотрудникам был осуществлен выезд по месту регистрации к моим родителям, чего он вообще делать не имеет права, я прошу в кратчайшие сроки провести проверку и принести извинения мне и моим родственникам, в противном случаи я буду вынужден обратиться в СМИ с приобщением аудио записи!",Safety
7492,"Михаил терпеливо отвечает по 100 раз на одни и те же вопросы, доступно объясняет все инвестиционные инструменты, проявляет полное самообладание, даже тогда, когда клиент явно тупит.",Communication
7494,"Позвонив по номеру в смс менеджер взял паузу посовещаться и озвучил удивленным голосом, что действительно я оставлял заявку (спасибо кэп) и сказал, что со мной обязательно в ближайшие несколько дней обязательно свяжутся.",Communication
7496,"Просто позор банку в котором работают такие сотрудники, которые хабалят и нападают на клиентов и обсуждает на весь банк свои личные вопросы в таком тоне.",Communication
7498,"Я к менеджерам, они мне ""мы ничем помочь не можем, записи с камер посмотреть не можем, пишите жалобу, мы ее рассмотрим в течение 15 (!!!!)",Communication
7500,"Сказала, чтобы я позвонил на горячую линию 8800*****17, где мою заявку вообще не видят, тогда кто мне звонил?",Communication
7502,"Было очень неприятно потратить драгоценное время на поход в банк, который просто хотел тебя обмануть (и обманул).",Communication
7504,Спасибо!PS: Рассматривая в целом работу банка - тоже доволен.,Quality
7506,"Хорошее и приятное общение на первом этапе с С-ой Ю., вот с нее все и началось.",Communication
7508,"В итоге: никто ни за что не отвечает, никто ничего не знает, концов не найти.",Quality
7510,"Позвонила опять на горячую линию, опять пароль не выслали, опять договора нет... Ах да, я совершила бесплатную операцию запроса  баланса в ""любом"" банкомате и теперь у меня задолженность 39 рублей, а я ещё даже не успела толком оформить карту)))) Я не то чтобы в шоке, я настолько обескуражена поведением банка, что дальнейшего желания пользоваться его услугами нет никакого.",Quality
7512,"Олеся предоставила квалифицированную помощь в подготовке документов, сообщила достоверную информацию о всех предстоящих расходах по оформлению сделки.",Communication
7514,"Я, честно веря, что обращения будут реально рассматриваться - иду навстречу и Третий раз иду я в отделение Банка, 08.09.2020 - чтобы все таки похвастаться своим новым паспортом и свидетельством, которое мне позволило его получить.",Communication
7516,"Пришел 24-го та же картина - с 11.45 почти к часу только смогли оформить пролонгацию... Грустно конечно, встречаю такое первый раз",Quality
7518,"Вы тоже ненавидите компании, которые любят тянуть время и ненавидят своих клиентов?",Quality
7519,"Вы тоже ненавидите компании, которые любят тянуть время и ненавидят своих клиентов?",Communication
7520,"Руководитель поддержки Альфа-банка, у вас творится ужас.",Communication
7522,"Рассмотрели, одобрили - отлично!",Communication
7524,Требую исключить мой номер телефона из списка обзвона и прекратить навязчивые звонки!!!,Communication
7526,"Я не могу ловить окошки времени по записи и искать отделения, где специалисты в чем то разбираются!",Quality
7528,"Я в шоке, все владеют разной информацией!",Communication
7530,"Выражаю благодарность сотрудникам Банка, за создание удобного, и как оказалось, очень полезного онлайн-общения!",Communication
7532,"Его отношение к клиентам просто восхитительное: я обращалась к нему сто раз, причем пару раз совершенно не по операциям в отделении, но и в свой выходной и в рабочий день, он всегда на связи и помог мне реальными делами, а не обещая что-то эфемерное.",Communication
7534,"Но вот в моей семье произошло несчастье, умер муж, и мне пришлось столкнуться с оформление наследства, проблем хватило, пришлось собирать уйму документов, учитывая, что наследство на меня и несовершеннолетнего сына, это еще сбор документов в опеке, где сплошное хамство.",Communication
7536,Везде полнейшая безответственность!,Quality
7538,"Крайне разочарован обслуживанием, т.к. обещания не соответствуют действиям сотрудников банка, решение проблемы откладывают В городе открыто много офисов, которые даже не занимается ипотечными вопросами.. Данная политика подводит клиентов, которые добросовестно выполнили свои обязательства, и ждут от банка того же!",Quality
7540,Только это не повод для такого грубого и неуважительного отношения к клиенту!,Communication
7542,Грамотный подход к экономии и сбережении моих средств.,Quality
7544,"Виктория поддерживала меня, успокаивала, очень по человечески отнеслась ко мне.",Communication
7546,Обязательно  буду рекомендовать Совкомбанк всем своим клиентам и знакомым.,Quality
7548,"Активно пользовался кредитной картой, которую сначала мне одобрили на 5 тысяч (хотя процент был супер высокий - 55%), если и использовал заемные средства с нее, то делал мин. платежи / закрывал долг всегда вовремя => положительная кредитная история в данном банке.",Quality
